Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Bolivia,BOL,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,4.68512163839765,3.82005894545246,5.11609405765728,3.13345381882574,7.59859952255897,6.91144823836723,5.29964691544755
Bolivia,BOL,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",SI.SPR.PCAP.ZG,..,..,..,..,..,..,..
Bolivia,BOL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,5.06979542446618,3.78318705934984,3.22053894217879,2.66307418762284,2.62330330357308,2.6847971997509,0.737697291142965
Bolivia,BOL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.79601142810841,5.46056950635136,4.85718730035796,4.26392083751466,4.1952063010676,4.22362351118875,2.21670577750376
Bolivia,BOL,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,7.53006734042047,5.23642446550963,2.62117047624031,4.00836561358007,2.2492603437624,2.2768804486214,0.123099408583414
Bolivia,BOL,"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,6.0852518274952,4.03214905947596,4.57659593315594,6.18483149435613,3.2869659831195,5.51618232063653,3.19377375328847
Bolivia,BOL,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,5.68080147884606,3.64180846857643,3.32645292676126,4.79785710974217,4.50178985869492,4.78755052370123,3.15893386717488
Bolivia,BOL,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,3.97261136620943,1.99335396928402,1.71369681635123,3.18881251289243,2.9252617001174,3.24039802194925,1.66629196022873
Uruguay,URY,Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,7,8,8,8,8,8,8
Uruguay,URY,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,25.9897179274738,27.040029503965,30.1143153516296,25.7911235103309,24.2138872009472,25.2655594301748,25.7179070369925
